source_system_a,source_id_a,entity_name_a,source_system_b,source_id_b,entity_name_b,address_similarity,name_similarity,geographic_proximity,confidence,outcome
sales_records,SR-1161,Brightline Investors Inc,debt_records,DBT-2024-166,Brightline Investors Inc,1.0,1.0,,1.0,auto_match
sales_records,SR-1363,Highland Park Partners,debt_records,DBT-2024-363,Highland Park Partners,1.0,1.0,,1.0,auto_match
sales_records,SR-1003,Prairie Wind Fund,debt_records,DBT-2024-003,Prairie Wind Fund,1.0,1.0,,1.0,auto_match
sales_records,SR-1173,Fairview Trust,debt_records,DBT-2024-174,Fairview Trust,1.0,1.0,,1.0,auto_match
sales_records,SR-1198,Foundry Square Commercial,debt_records,DBT-2024-210,Foundry Square Commercial,1.0,1.0,,1.0,auto_match
sales_records,SR-1311,Palmetto Coast Capital Group,debt_records,DBT-2024-318,Palmetto Coast Capital Group,1.0,1.0,,1.0,auto_match
sales_records,SR-1090,Golden Gate Logistics LLC,debt_records,DBT-2024-092,Golden Gate Logistics LLC,1.0,1.0,,1.0,auto_match
sales_records,SR-1027,Underhill Investors,debt_records,DBT-2024-032,Underhill Investors,1.0,1.0,,1.0,auto_match
sales_records,SR-1086,Birchwood Ventures,debt_records,DBT-2024-088,Birchwood Ventures,1.0,1.0,,1.0,auto_match
sales_records,SR-1007,Coastal Bend Ventures,debt_records,DBT-2024-006,Coastal Bend Ventures,1.0,1.0,,1.0,auto_match
sales_records,SR-1139,Silverpine Office,debt_records,DBT-2023-141,Silverpine Office,1.0,1.0,,1.0,auto_match
sales_records,SR-1304,Zenith Point Realty,debt_records,DBT-2024-310,Zenith Point Realty,1.0,1.0,,1.0,auto_match
sales_records,SR-1328,Rosewood Logistics,debt_records,DBT-2024-326,Rosewood Logistics,1.0,1.0,,1.0,auto_match
sales_records,SR-1008,Cornerstone Investors,debt_records,DBT-2024-007,Cornerstone Investors,1.0,1.0,,1.0,auto_match
sales_records,SR-1036,Overlook Commercial Partners,debt_records,DBT-2024-041,Overlook Commercial Partners,1.0,1.0,,1.0,auto_match
sales_records,SR-1054,Oakwood Industrial,debt_records,DBT-2024-060,Oakwood Industrial,1.0,1.0,,1.0,auto_match
sales_records,SR-1084,Quarrystone Retail,debt_records,DBT-2024-086,Quarrystone Retail,1.0,1.0,,1.0,auto_match
sales_records,SR-1155,Vantage Point Fund,debt_records,DBT-2024-158,Vantage Point Fund,1.0,1.0,,1.0,auto_match
sales_records,SR-1327,Amberleaf Realty,debt_records,DBT-2024-325,Amberleaf Realty,1.0,1.0,,1.0,auto_match
sales_records,SR-1056,Coastal Bend Development,debt_records,DBT-2024-062,Coastal Bend Development,1.0,1.0,,1.0,auto_match
sales_records,SR-1348,Copperfield Ventures,debt_records,DBT-2024-351,Copperfield Ventures,1.0,1.0,,1.0,auto_match
sales_records,SR-1148,Bayshore Capital,debt_records,DBT-2024-149,Bayshore Capital,1.0,1.0,,1.0,auto_match
sales_records,SR-1122,Quarrystone Capital,debt_records,DBT-2024-128,Quarrystone Capital,1.0,1.0,,1.0,auto_match
sales_records,SR-1301,Westbrook Capital,debt_records,DBT-2024-305,Westbrook Capital,1.0,1.0,,1.0,auto_match
sales_records,SR-1042,Falcon Creek Properties,debt_records,DBT-2024-046,Falcon Creek Properties,1.0,1.0,,1.0,auto_match
sales_records,SR-1044,Coastal Bend Group,debt_records,DBT-2024-049,Coastal Bend Group,1.0,1.0,,1.0,auto_match
sales_records,SR-1223,Sagebrush Partners,debt_records,DBT-2024-244,Sagebrush Partners,1.0,1.0,,1.0,auto_match
sales_records,SR-1109,Union Pacific Trust Fund,debt_records,DBT-2023-114,Union Pacific Trust Fund,1.0,1.0,,1.0,auto_match
sales_records,SR-1057,Harborview Commercial,debt_records,DBT-2024-063,Harborview Commercial LP,1.0,0.9733,,0.9881,auto_match
sales_records,SR-1243,Maple Crest Logistics,debt_records,DBT-2024-256,Maple Crest Logistics LP,1.0,0.9733,,0.9881,auto_match
sales_records,SR-1324,Ashford Residential LLC,debt_records,DBT-2024-324,Ashford Residential LP,1.0,0.9733,,0.9881,auto_match
sales_records,SR-1386,Willowbrook Investors,debt_records,DBT-2024-388,Willowbrook Investors LP,1.0,0.9733,,0.9881,auto_match
sales_records,SR-1179,Delta Ridge Investors,debt_records,DBT-2024-180,Delta Ridge Investors LP,1.0,0.9733,,0.9881,auto_match
sales_records,SR-1113,Millbrook Commercial,debt_records,DBT-2024-119,Millbrook Commercial LP,1.0,0.9721,,0.9876,auto_match
sales_records,SR-1276,Twin Rivers Retail LP,debt_records,DBT-2023-290,Twin Rivers Retail LLC,1.0,0.9721,,0.9876,auto_match
sales_records,SR-1058,Foundry Square Logistics Inc,debt_records,DBT-2024-064,Foundry Square Logistics LLC,1.0,0.9714,,0.9873,auto_match
sales_records,SR-1158,Lakeshore Investors,debt_records,DBT-2024-161,Lakeshore Investors LP,1.0,0.9707,,0.987,auto_match
sales_records,SR-1220,Coastal Bend Office,debt_records,DBT-2024-241,Coastal Bend Office LP,1.0,0.9707,,0.987,auto_match
sales_records,SR-1015,Juniper Bend Office,debt_records,DBT-2024-013,Juniper Bend Office LP,1.0,0.9707,,0.987,auto_match
sales_records,SR-1368,Vantage Point Residential Inc,debt_records,DBT-2024-372,Vantage Point Residential,1.0,0.9704,,0.9868,auto_match
sales_records,SR-1238,Ferngate Investors,debt_records,DBT-2023-253,Ferngate Investors LP,1.0,0.9692,,0.9863,auto_match
sales_records,SR-1383,Hollow Creek Residential,debt_records,DBT-2024-385,Hollow Creek Residential LLC,1.0,0.9692,,0.9863,auto_match
sales_records,SR-1341,Quarrystone Realty,debt_records,DBT-2024-340,Quarrystone Realty LP,1.0,0.9692,,0.9863,auto_match
sales_records,SR-1316,Yellowpine Capital,debt_records,DBT-2024-322,Yellowpine Capital LP,1.0,0.9692,,0.9863,auto_match
sales_records,SR-1369,Highland Park Industrial,debt_records,DBT-2024-374,Highland Park Industrial Inc,1.0,0.9692,,0.9863,auto_match
sales_records,SR-1112,Copper Basin Industrial,debt_records,DBT-2024-118,Copper Basin Industrial Inc,1.0,0.968,,0.9858,auto_match
sales_records,SR-1211,Overlook Partners,debt_records,DBT-2024-231,Overlook Partners LP,1.0,0.9676,,0.9856,auto_match
sales_records,SR-1181,Windermere Residential,debt_records,DBT-2024-186,Windermere Residential Inc,1.0,0.9667,,0.9852,auto_match
sales_records,SR-1247,Ironwood Development Inc,debt_records,DBT-2023-263,Ironwood Development LLC,1.0,0.9667,,0.9852,auto_match
sales_records,SR-1187,Driftwood Development,debt_records,DBT-2024-194,Driftwood Development LLC,1.0,0.9652,,0.9845,auto_match
sales_records,SR-1170,Crestpoint Commercial,debt_records,DBT-2023-172,Crestpoint Commercial Inc,1.0,0.9652,,0.9845,auto_match
sales_records,SR-1256,Greystone Residential LLC,debt_records,DBT-2024-272,Greystone Residential,1.0,0.9652,,0.9845,auto_match
sales_records,SR-1092,Marlin Bay Industrial,debt_records,DBT-2024-098,Marlin Bay Industrial Inc,1.0,0.9652,,0.9845,auto_match
sales_records,SR-1245,Palmetto Coast Office,debt_records,DBT-2024-259,Palmetto Coast Office Inc,1.0,0.9652,,0.9845,auto_match
sales_records,SR-1118,Silverline Logistics,debt_records,DBT-2024-124,Silverline Logistics Inc,1.0,0.9636,,0.9838,auto_match
sales_records,SR-1070,Sable Point Realty Inc,debt_records,DBT-2024-069,Sable Point Realty LLC,1.0,0.9636,,0.9838,auto_match
sales_records,SR-1163,Hearthstone Holdings,debt_records,DBT-2024-167,Hearthstone Holdings Inc,1.0,0.9636,,0.9838,auto_match
