source_system,source_record_id,entity_name,reason,raw_record
sales_records,SR-1032,Northgate Office,missing close_date,"{""deal_id"": ""SR-1032"", ""client_name"": ""NORTHGATE OFFICE"", ""property_address"": ""2707 Airport Blvd"", ""city"": ""Memphis"", ""state"": ""TN"", ""zip"": ""38118-6824"", ""sale_price"": ""$6,750,000"", ""close_date"": """", ""broker_name"": ""Tom O'Neill"", ""property_type"": ""Retail""}"
sales_records,SR-1110,,missing client_name; entity_name,"{""deal_id"": ""SR-1110"", ""client_name"": """", ""property_address"": ""5540 Yale Pkwy"", ""city"": ""New Orleans"", ""state"": ""LA"", ""zip"": ""70130"", ""sale_price"": ""10400000"", ""close_date"": ""10/10/2024"", ""broker_name"": ""Maria Chen"", ""property_type"": ""Office""}"
sales_records,SR-1171,Palmetto Coast Holdings,missing close_date,"{""deal_id"": ""SR-1171"", ""client_name"": ""Palmetto Coast Holdings"", ""property_address"": ""691 Industrial Road"", ""city"": ""Miami"", ""state"": ""FL"", ""zip"": ""33131"", ""sale_price"": ""$4,600,000"", ""close_date"": """", ""broker_name"": ""Alicia Fox"", ""property_type"": ""Office""}"
sales_records,SR-1208,Canyon Point Trust Inc,missing sale_price,"{""deal_id"": ""SR-1208"", ""client_name"": ""Canyon Point Trust Inc"", ""property_address"": ""3889 Bannock Boulevard, Fl 24"", ""city"": ""Austin"", ""state"": ""tx"", ""zip"": ""78701"", ""sale_price"": """", ""close_date"": ""2024-06-04"", ""broker_name"": ""Wendy Park"", ""property_type"": ""Multifamily""}"
sales_records,SR-1227,Bluepeak Development Fund,missing close_date,"{""deal_id"": ""SR-1227"", ""client_name"": ""Bluepeak Development Fnd"", ""property_address"": ""2917 Lakeshore Street, Ste 4"", ""city"": ""San Francisco"", ""state"": ""CA"", ""zip"": ""94117-8075"", ""sale_price"": ""$11,050,000"", ""close_date"": """", ""broker_name"": ""Alicia Fox"", ""property_type"": ""Land""}"
sales_records,SR-1252,,missing client_name; entity_name,"{""deal_id"": ""SR-1252"", ""client_name"": """", ""property_address"": ""7367 Westheimer Avenue"", ""city"": ""Portland"", ""state"": ""OR"", ""zip"": ""97201"", ""sale_price"": ""$12,600,000"", ""close_date"": ""25-Mar-24"", ""broker_name"": ""Elena Ruiz"", ""property_type"": ""Office""}"
sales_records,SR-1255,,missing client_name; entity_name,"{""deal_id"": ""SR-1255"", ""client_name"": """", ""property_address"": ""5643 Broadway Boulevard"", ""city"": ""new orleans"", ""state"": ""LA"", ""zip"": ""70130"", ""sale_price"": ""5950000"", ""close_date"": ""July 18, 2024"", ""broker_name"": ""Derek Wu"", ""property_type"": ""Office""}"
sales_records,SR-1295,Coastal Bend Partners Partners,missing close_date,"{""deal_id"": ""SR-1295"", ""client_name"": ""Coastal Bend Partners Ptrs"", ""property_address"": ""162 Independent Dr, Ste 5"", ""city"": ""Seattle"", ""state"": ""wa"", ""zip"": ""98101"", ""sale_price"": ""9300000"", ""close_date"": """", ""broker_name"": ""Derek Wu"", ""property_type"": ""Industrial""}"
sales_records,SR-1321,,missing client_name; entity_name,"{""deal_id"": ""SR-1321"", ""client_name"": """", ""property_address"": ""6765 Oak Road"", ""city"": ""Atlanta"", ""state"": ""GA"", ""zip"": ""30303"", ""sale_price"": ""$1,900,000"", ""close_date"": ""01/07/2024"", ""broker_name"": ""R. Delgado"", ""property_type"": ""Land""}"
sales_records,SR-1330,Copper Basin Group,missing close_date,"{""deal_id"": ""SR-1330"", ""client_name"": ""Copper Basin Group"", ""property_address"": ""1751 Oak Ave"", ""city"": ""San Francisco"", ""state"": ""CA"", ""zip"": ""94117-2736"", ""sale_price"": ""$1,550,000"", ""close_date"": """", ""broker_name"": """", ""property_type"": ""Office""}"
sales_records,SR-1343,Overlook Group,missing close_date,"{""deal_id"": ""SR-1343"", ""client_name"": ""Overlook Group"", ""property_address"": ""222 Yale Ave"", ""city"": ""Columbus"", ""state"": ""oh"", ""zip"": ""43215"", ""sale_price"": ""4750000"", ""close_date"": """", ""broker_name"": ""Nathan Ford"", ""property_type"": ""Land""}"
sales_records,SR-1346,Quarrystone Group,missing close_date,"{""deal_id"": ""SR-1346"", ""client_name"": ""Quarrystone Group"", ""property_address"": ""9023 Jefferson Street"", ""city"": ""Houston"", ""state"": ""TX"", ""zip"": ""77006"", ""sale_price"": ""$5,850,000"", ""close_date"": """", ""broker_name"": ""Wendy Park"", ""property_type"": ""Industrial""}"
sales_records,SR-1371,Ironbridge Industrial,missing property_address,"{""deal_id"": ""SR-1371"", ""client_name"": ""Ironbridge Industrial"", ""property_address"": """", ""city"": ""San Francisco"", ""state"": ""CA"", ""zip"": ""94117"", ""sale_price"": ""6050000"", ""close_date"": ""02/17/2024"", ""broker_name"": ""J. Alvarez"", ""property_type"": ""Retail""}"
sales_records,SR-1393,Steelyard Development,missing sale_price,"{""deal_id"": ""SR-1393"", ""client_name"": ""Steelyard Development"", ""property_address"": ""2649 Canal Ln, Suite 38"", ""city"": ""Houston"", ""state"": ""TX"", ""zip"": ""77006"", ""sale_price"": """", ""close_date"": ""September 9, 2024"", ""broker_name"": ""Alicia Fox"", ""property_type"": ""Multifamily""}"
debt_records,DBT-2024-008,Union Pacific Office LLC,missing property_addr,"{""loan_ref"": ""DBT-2024-008"", ""borrower_name"": ""Union Pacific Office LLC"", ""property_addr"": """", ""loan_amount"": ""1650000"", ""orig_date"": ""2024-07-07"", ""maturity_date"": ""2029-05-11"", ""lender_name"": ""Hoosier Capital Bank"", ""loan_type"": ""Term Loan"", ""notes"": """"}"
debt_records,DBT-2024-015,,missing borrower_name; entity_name,"{""loan_ref"": ""DBT-2024-015"", ""borrower_name"": """", ""property_addr"": ""793 Franklin Boulevard, Miami, FL 33131"", ""loan_amount"": ""$2,050,000"", ""orig_date"": ""December 3, 2024"", ""maturity_date"": ""2028-03-23"", ""lender_name"": ""Volunteer State Bank"", ""loan_type"": ""Bridge Loan"", ""notes"": """"}"
debt_records,DBT-2024-019,Steelyard Group Inc,missing property_addr,"{""loan_ref"": ""DBT-2024-019"", ""borrower_name"": ""Steelyard Group Inc."", ""property_addr"": """", ""loan_amount"": ""9950000"", ""orig_date"": ""October 29, 2024"", ""maturity_date"": ""2025-09-13"", ""lender_name"": ""Lakefront Bank"", ""loan_type"": ""Construction Loan"", ""notes"": """"}"
debt_records,DBT-2023-023,Hearthstone Capital Inc,missing property_addr,"{""loan_ref"": ""DBT-2023-023"", ""borrower_name"": ""hearthstone capital inc."", ""property_addr"": """", ""loan_amount"": ""9600000"", ""orig_date"": ""04/02/2024"", ""maturity_date"": ""2030-07-04"", ""lender_name"": ""Pacific Northwest Trust"", ""loan_type"": ""Term Loan"", ""notes"": """"}"
debt_records,DBT-2024-035,Golden Gate Holdings Inc,missing orig_date,"{""loan_ref"": ""DBT-2024-035"", ""borrower_name"": ""Golden Gate Holdings Inc"", ""property_addr"": ""8486 Jefferson Ave, Suite 18, Seattle, WA, 98101"", ""loan_amount"": ""$8,500,000"", ""orig_date"": """", ""maturity_date"": ""2028-11-15"", ""lender_name"": ""Pacific Northwest Trust"", ""loan_type"": ""Term Loan"", ""notes"": """"}"
debt_records,DBT-2024-047,Fairview Retail LP,missing property_addr,"{""loan_ref"": ""DBT-2024-047"", ""borrower_name"": ""Fairview Retail LP"", ""property_addr"": """", ""loan_amount"": ""7850000"", ""orig_date"": ""February 22, 2024"", ""maturity_date"": ""2026-11-01"", ""lender_name"": ""Lowcountry Bank"", ""loan_type"": ""Construction Loan"", ""notes"": """"}"
debt_records,DBT-2024-108,Redwood Holdings,missing property_addr,"{""loan_ref"": ""DBT-2024-108"", ""borrower_name"": ""Redwood Holdings"", ""property_addr"": """", ""loan_amount"": ""$4,600,000"", ""orig_date"": ""06/05/2024"", ""maturity_date"": ""2029-12-10"", ""lender_name"": ""Golden State Credit Union"", ""loan_type"": ""Term Loan"", ""notes"": """"}"
debt_records,DBT-2024-123,Pinecrest Ventures,missing property_addr,"{""loan_ref"": ""DBT-2024-123"", ""borrower_name"": ""pinecrest ventures"", ""property_addr"": """", ""loan_amount"": ""7800000"", ""orig_date"": ""07/20/2024"", ""maturity_date"": ""2025-11-11"", ""lender_name"": ""Gateway Commercial Bank"", ""loan_type"": ""Construction Loan"", ""notes"": """"}"
debt_records,DBT-2024-160,Ironwood Group LP,missing orig_date,"{""loan_ref"": ""DBT-2024-160"", ""borrower_name"": ""IRONWOOD GROUP LP"", ""property_addr"": ""3381 Tampa Parkway, Fl 11, Boston, Massachusetts, 02110"", ""loan_amount"": ""$8,900,000"", ""orig_date"": """", ""maturity_date"": ""2030-04-09"", ""lender_name"": ""Pacific Northwest Trust"", ""loan_type"": ""Term Loan"", ""notes"": """"}"
debt_records,DBT-2024-169,Fairview Group Group,missing orig_date,"{""loan_ref"": ""DBT-2024-169"", ""borrower_name"": ""Fairview Group Grp"", ""property_addr"": ""3623 Bannock St,Portland, OR 97201"", ""loan_amount"": ""6050000"", ""orig_date"": """", ""maturity_date"": ""2029-09-10"", ""lender_name"": ""Pacific Northwest Trust"", ""loan_type"": ""Bridge Loan"", ""notes"": """"}"
debt_records,DBT-2024-220,Overlook Holdings LLC,missing property_addr,"{""loan_ref"": ""DBT-2024-220"", ""borrower_name"": ""overlook holdings llc"", ""property_addr"": """", ""loan_amount"": ""7550000"", ""orig_date"": ""2024-02-21"", ""maturity_date"": ""2028-06-07"", ""lender_name"": ""Pacific Northwest Trust"", ""loan_type"": ""Bridge Loan"", ""notes"": """"}"
debt_records,DBT-2024-243,Nightingale Ventures,missing property_addr,"{""loan_ref"": ""DBT-2024-243"", ""borrower_name"": ""Nightingale Ventures"", ""property_addr"": """", ""loan_amount"": ""$3,850,000"", ""orig_date"": ""10/19/2024"", ""maturity_date"": ""2028-01-02"", ""lender_name"": ""Piedmont Capital"", ""loan_type"": ""Refinance"", ""notes"": """"}"
debt_records,DBT-2024-245,Elm Hollow Properties Fund,missing property_addr,"{""loan_ref"": ""DBT-2024-245"", ""borrower_name"": ""Elm Hollow Properties Fnd"", ""property_addr"": """", ""loan_amount"": ""$9,250,000"", ""orig_date"": ""July 18, 2024"", ""maturity_date"": ""2031-09-14"", ""lender_name"": ""Sierra Nevada Bank"", ""loan_type"": ""Bridge Loan"", ""notes"": """"}"
debt_records,DBT-2024-337,,missing borrower_name; entity_name,"{""loan_ref"": ""DBT-2024-337"", ""borrower_name"": """", ""property_addr"": ""5291 Bay Parkway, Ste 29, San Francisco, California, 94117"", ""loan_amount"": ""$3,200,000"", ""orig_date"": ""November 1, 2024"", ""maturity_date"": ""2030-09-02"", ""lender_name"": ""Pacific Northwest Trust"", ""loan_type"": ""Bridge Loan"", ""notes"": """"}"
debt_records,DBT-2024-347,Highland Park Properties LLC,missing property_addr,"{""loan_ref"": ""DBT-2024-347"", ""borrower_name"": ""Highland Park Properties LLC"", ""property_addr"": """", ""loan_amount"": ""$8,400,000"", ""orig_date"": ""03/23/2024"", ""maturity_date"": ""2030-10-16"", ""lender_name"": ""Hoosier Capital Bank"", ""loan_type"": ""Construction Loan"", ""notes"": """"}"
debt_records,DBT-2024-352,Maple Crest Realty Partners,missing orig_date,"{""loan_ref"": ""DBT-2024-352"", ""borrower_name"": ""Maple Crest  Realty Ptrs"", ""property_addr"": ""3505 Franklin Blvd, 7th Floor, Boston, MA, 02110"", ""loan_amount"": ""$4,300,000"", ""orig_date"": """", ""maturity_date"": ""2025-12-13"", ""lender_name"": ""Delta Commercial Credit"", ""loan_type"": ""Term Loan"", ""notes"": """"}"
debt_records,DBT-2024-400,Overlook Holdings LLC,missing property_addr,"{""loan_ref"": ""DBT-2024-400"", ""borrower_name"": ""overlook holdings llc"", ""property_addr"": """", ""loan_amount"": ""7550000"", ""orig_date"": ""2024-02-21"", ""maturity_date"": ""2028-06-07"", ""lender_name"": ""Pacific Northwest Trust"", ""loan_type"": ""Bridge Loan"", ""notes"": """"}"
