loan_ref,borrower_name,property_addr,loan_amount,orig_date,maturity_date,lender_name,loan_type,notes
DBT-2024-001,Meridian Properties LLC,"4820 Riverside Drive, Ste 200, Columbus, OH 43215",2800000,01/10/2024,01/10/2029,First Capital Bank,Term Loan,
DBT-2024-002,Oakwood Retail Partners Inc.,"112 Elm St, Denver, CO, 80202",1200000,2024-02-15,2027-02-15,Highline Lending,Bridge Loan,
DBT-2024-003,Silverline Capital LLC,"900 Congress Avenue, 12th Floor, Austin, TX 78701",4900000,03/01/2024,2031-03-01,Republic Trust Bank,Term Loan,past due 30 days
DBT-2024-004,"Harborview Holdings, Inc","55 Bay Street, Boston, Massachusetts 02110",,04/20/2024,2029-04-20,Beacon Hill Financial,Term Loan,
DBT-2024-005,Crestpoint Industrial Partners LLC,"7700 Freight Way, Memphis, TN 38118",3600000,2024-02-28,2030-02-28,Delta Commercial Credit,Term Loan,
DBT-2024-006,BluePeak Realty Trust,"300 Lakeshore Boulevard, Chicago, IL, 60601",5500000,01/05/2024,2028-01-05,Lakefront Bank,Refinance,
DBT-2024-007,Ashford Commercial Grp,"18 Peachtree Street Northwest, Atlanta, GA 30303",2100000,12/18/2023,2028-12-18,Piedmont Capital,Term Loan,
DBT-2024-008,"Northgate Logistics, LLC","2200 Airport Road Ste 5, Nashville,TN 37217",3950000,2024-03-11,2029-03-11,Volunteer State Bank,Construction Loan,
DBT-2024-009,Delta Ridge Ventures LLC,"88 Canal Street, New Orleans, LA 70130",1450000,05/09/2024,2027-05-09,Crescent City Lending,Bridge Loan,
DBT-2024-010,Cornerstone Retail Fnd,"410 Westheimer Road, Houston, Texas 77006",2900000,2024-01-22,2029-01-22,Gulf Coast Bank,Term Loan,
DBT-2024-011,Pinnacle Office Trust,"601 Union Street, Seattle,WA 98101",6700000,06/02/2024,2031-06-02,Pacific Northwest Trust,Term Loan,
DBT-2024-012,Redwood Multifamily Group LLC,"245 Fillmore Street, San Francisco, CA 94117",8100000,2024-02-08,2030-02-08,Golden State Credit Union,Refinance,
DBT-2023-013,Falcon Creek Holdings,"1801 California St, Denver, CO 80202",1950000,09/14/2023,2026-09-14,Front Range Bank,Bridge Loan,
DBT-2024-014,Union Pacific Retail Partners,"800 Market St, St. Louis, MO 63101",2650000,2024-04-01,2027-04-01,Gateway Commercial Bank,Construction Loan,
DBT-2024-015,Grayson Industrial Fund,"5500 W Washington St, Indianapolis, IN 46241",3300000,03/19/2024,2029-03-19,Hoosier Capital Bank,Term Loan,
DBT-2024-016,Prairie Wind Multifamily LP,"1015 N 98th St, Omaha, NE 68114",4600000,2024-05-06,2031-05-06,Midlands Trust,Refinance,
DBT-2023-017,Coastal Bend Capital,"400 Mann St, Corpus Christi, TX 78401",1100000,11/02/2023,2026-11-02,Gulfstream Bank,Term Loan,
DBT-2024-018,Ridgeline Office Partners,"201 3rd St NW, Albuquerque, NM 87102",2050000,,2029-06-15,Sandia Federal Bank,Bridge Loan,
DBT-2024-019,Amberleaf Retail Trust,"450 Laurel St, Baton Rouge, LA 70801",1750000,02/22/2024,2027-02-22,Capitol Lakes Bank,Construction Loan,
DBT-2024-020,Steelyard Logistics Fund,"1375 E 9th St, Cleveland, OH 44114",3850000,2024-01-30,2030-01-30,Great Lakes Commercial Bank,Term Loan,
DBT-2024-021,Hollow Creek Residential,"300 N Greene St, Greensboro, NC 27401",5200000,04/11/2024,2031-04-11,Piedmont Triad Bank,Refinance,
DBT-2024-022,Palmetto Coast Investors,"145 King St, Charleston, SC 29401",2300000,2024-03-05,2028-03-05,Lowcountry Bank,Bridge Loan,past due 15 days
DBT-2024-023,Timberlake Capital Group,,3100000,05/20/2024,2029-05-20,West Michigan Bank,Term Loan,
DBT-2024-024,Quarrystone Partners,"801 W Riverside Ave, Spokane, WA 99201",1600000,2024-02-13,2027-02-13,Inland Northwest Bank,Construction Loan,
DBT-2024-025,Windermere Office Fund,"280 Trumbull St, Hartford, CT 06103",2750000,06/28/2024,2030-06-28,Constitution State Bank,Refinance,
DBT-2024-026,Blackthorn Industrial LP,"801 Grand Ave, Des Moines, IA 50309",3450000,2024-01-17,2029-01-17,Heartland Commercial Bank,Term Loan,
DBT-2024-027,Sagebrush Retail Holdings,"200 S Virginia St, Reno, NV 89501",1980000,03/24/2024,2027-03-24,Sierra Nevada Bank,Bridge Loan,
DBT-2024-028,Copper Basin Ventures,"2 E Congress St, Tucson, AZ 85701",2550000,2024-04-08,2028-04-08,Desert Southwest Bank,Construction Loan,
DBT-2024-029,Ferngate Multifamily Trust,"677 Broadway, Albany, NY 12207",6900000,07/02/2024,2031-07-02,Empire State Trust,Refinance,
DBT-2024-030,Silverline Capital LLC,"900 Congress Avenue, 12th Floor, Austin, TX 78701",4900000,03/01/2024,2031-03-01,Republic Trust Bank,Term Loan,past due 30 days
